time,temperature_2m,relative_humidity_2m,precipitation,rain,weather_code,cloud_cover,wind_speed_10m,wind_gusts_10m
2012-03-01 00:00:00,6.8,94,0.0,0.0,0,11,3.6,12.6
2012-03-01 01:00:00,6.6,94,0.0,0.0,1,22,4.0,11.2
2012-03-01 02:00:00,6.3,95,0.0,0.0,2,70,4.0,11.5
2012-03-01 03:00:00,6.5,95,0.0,0.0,2,78,2.2,11.5
2012-03-01 04:00:00,6.4,96,0.0,0.0,2,78,1.6,11.2
2012-03-01 05:00:00,6.4,96,0.0,0.0,2,74,2.1,11.9
2012-03-01 06:00:00,6.3,97,0.0,0.0,3,82,3.1,12.6
2012-03-01 07:00:00,6.4,97,0.0,0.0,3,87,4.6,13.0
2012-03-01 08:00:00,6.9,96,0.0,0.0,3,82,5.6,13.0
2012-03-01 09:00:00,8.6,88,0.0,0.0,2,50,3.9,13.3
2012-03-01 10:00:00,9.9,79,0.0,0.0,1,48,2.4,16.2
2012-03-01 11:00:00,11.4,68,0.0,0.0,0,15,0.5,17.6
2012-03-01 12:00:00,13.8,52,0.0,0.0,0,14,3.7,18.7
2012-03-01 13:00:00,15.3,45,0.0,0.0,0,8,6.8,23.4
2012-03-01 14:00:00,16.1,41,0.0,0.0,1,43,8.9,27.0
2012-03-01 15:00:00,16.6,39,0.0,0.0,1,31,7.6,31.3
2012-03-01 16:00:00,16.0,43,0.0,0.0,0,12,7.6,34.2
2012-03-01 17:00:00,14.9,47,0.0,0.0,0,3,7.6,34.2
2012-03-01 18:00:00,13.8,50,0.0,0.0,0,0,6.1,28.8
2012-03-01 19:00:00,12.6,55,0.0,0.0,0,0,2.1,19.8
2012-03-01 20:00:00,11.2,61,0.0,0.0,0,0,3.3,16.6
2012-03-01 21:00:00,10.0,67,0.0,0.0,0,2,5.9,19.4
2012-03-01 22:00:00,9.0,69,0.0,0.0,0,2,6.3,24.1
2012-03-01 23:00:00,8.1,69,0.0,0.0,0,1,5.7,26.3
2012-03-02 00:00:00,7.4,71,0.0,0.0,0,1,5.8,25.2
2012-03-02 01:00:00,6.6,73,0.0,0.0,0,0,5.9,25.2
2012-03-02 02:00:00,5.7,75,0.0,0.0,0,0,6.3,22.7
2012-03-02 03:00:00,5.0,77,0.0,0.0,0,0,6.3,20.5
2012-03-02 04:00:00,4.5,78,0.0,0.0,0,0,7.4,18.7
2012-03-02 05:00:00,4.1,79,0.0,0.0,0,0,7.9,19.4
2012-03-02 06:00:00,3.8,79,0.0,0.0,0,0,8.8,23.0
2012-03-02 07:00:00,3.7,79,0.0,0.0,0,0,10.0,27.0
2012-03-02 08:00:00,4.1,77,0.0,0.0,0,0,12.1,31.7
2012-03-02 09:00:00,8.3,56,0.0,0.0,0,0,12.7,35.6
2012-03-02 10:00:00,12.7,29,0.0,0.0,0,0,19.0,46.4
2012-03-02 11:00:00,15.4,15,0.0,0.0,0,0,19.7,56.9
2012-03-02 12:00:00,17.6,12,0.0,0.0,0,0,19.4,52.2
2012-03-02 13:00:00,19.3,9,0.0,0.0,0,0,17.3,48.6
2012-03-02 14:00:00,20.4,8,0.0,0.0,0,0,15.5,44.3
2012-03-02 15:00:00,21.0,7,0.0,0.0,0,0,13.5,40.7
2012-03-02 16:00:00,21.0,6,0.0,0.0,0,0,12.6,38.9
2012-03-02 17:00:00,20.3,6,0.0,0.0,0,0,13.0,37.8
2012-03-02 18:00:00,19.0,7,0.0,0.0,0,0,10.1,35.6
2012-03-02 19:00:00,17.0,8,0.0,0.0,0,0,8.2,29.9
2012-03-02 20:00:00,14.4,12,0.0,0.0,0,0,7.0,25.2
2012-03-02 21:00:00,11.5,18,0.0,0.0,0,0,7.9,24.1
2012-03-02 22:00:00,9.7,21,0.0,0.0,0,0,8.9,25.9
2012-03-02 23:00:00,8.3,24,0.0,0.0,0,0,10.0,27.4
2012-03-03 00:00:00,7.7,28,0.0,0.0,0,0,10.5,27.7
2012-03-03 01:00:00,6.9,30,0.0,0.0,0,0,10.5,25.9
2012-03-03 02:00:00,6.2,32,0.0,0.0,0,0,10.2,25.2
2012-03-03 03:00:00,5.6,33,0.0,0.0,0,0,11.6,24.8
2012-03-03 04:00:00,5.1,33,0.0,0.0,0,0,11.8,25.6
2012-03-03 05:00:00,4.8,33,0.0,0.0,0,0,12.4,27.0
2012-03-03 06:00:00,4.5,33,0.0,0.0,0,0,13.2,28.4
2012-03-03 07:00:00,4.2,33,0.0,0.0,0,0,13.2,29.2
2012-03-03 08:00:00,4.7,33,0.0,0.0,0,0,13.6,29.9
2012-03-03 09:00:00,9.3,31,0.0,0.0,0,0,12.3,30.6
2012-03-03 10:00:00,16.0,13,0.0,0.0,0,0,9.9,28.8
2012-03-03 11:00:00,19.4,9,0.0,0.0,0,0,8.7,26.6
2012-03-03 12:00:00,21.4,9,0.0,0.0,0,0,7.3,26.3
2012-03-03 13:00:00,23.2,8,0.0,0.0,0,0,5.7,27.7
2012-03-03 14:00:00,24.4,8,0.0,0.0,0,0,4.4,28.4
2012-03-03 15:00:00,25.2,8,0.0,0.0,0,0,3.6,27.7
2012-03-03 16:00:00,25.3,8,0.0,0.0,0,0,3.6,27.0
2012-03-03 17:00:00,25.0,8,0.0,0.0,0,0,3.9,25.6
2012-03-03 18:00:00,24.1,9,0.0,0.0,0,0,2.5,23.8
2012-03-03 19:00:00,22.1,11,0.0,0.0,0,0,3.6,18.7
2012-03-03 20:00:00,19.3,18,0.0,0.0,0,0,7.0,14.0
2012-03-03 21:00:00,16.1,19,0.0,0.0,0,0,5.6,16.9
2012-03-03 22:00:00,12.7,25,0.0,0.0,0,0,8.0,22.0
2012-03-03 23:00:00,11.8,26,0.0,0.0,0,0,9.7,24.5
2012-03-04 00:00:00,11.5,26,0.0,0.0,0,0,10.8,25.6
2012-03-04 01:00:00,10.7,26,0.0,0.0,0,0,11.1,26.3
2012-03-04 02:00:00,10.0,26,0.0,0.0,0,0,11.8,27.4
2012-03-04 03:00:00,9.4,27,0.0,0.0,0,0,12.0,28.1
2012-03-04 04:00:00,8.9,27,0.0,0.0,0,0,12.4,28.8
2012-03-04 05:00:00,8.5,28,0.0,0.0,0,0,12.8,29.5
2012-03-04 06:00:00,8.2,29,0.0,0.0,0,0,12.9,29.9
2012-03-04 07:00:00,7.9,29,0.0,0.0,0,0,12.9,29.9
2012-03-04 08:00:00,8.4,30,0.0,0.0,0,0,13.4,30.2
2012-03-04 09:00:00,12.9,27,0.0,0.0,0,0,12.9,31.0
2012-03-04 10:00:00,19.9,14,0.0,0.0,0,0,10.0,28.8
2012-03-04 11:00:00,23.7,10,0.0,0.0,0,0,10.1,25.9
2012-03-04 12:00:00,26.2,9,0.0,0.0,0,0,9.0,28.8
2012-03-04 13:00:00,27.8,9,0.0,0.0,0,0,7.9,27.7
2012-03-04 14:00:00,29.0,8,0.0,0.0,0,0,5.6,27.0
2012-03-04 15:00:00,29.6,8,0.0,0.0,0,0,4.6,25.9
2012-03-04 16:00:00,29.6,7,0.0,0.0,0,1,2.5,25.9
2012-03-04 17:00:00,29.0,8,0.0,0.0,0,0,1.8,25.9
2012-03-04 18:00:00,27.6,9,0.0,0.0,0,0,1.3,25.2
2012-03-04 19:00:00,24.9,13,0.0,0.0,0,0,3.1,18.7
2012-03-04 20:00:00,22.6,23,0.0,0.0,0,12,5.2,14.0
2012-03-04 21:00:00,19.9,24,0.0,0.0,1,43,6.4,13.0
2012-03-04 22:00:00,17.3,22,0.0,0.0,2,72,5.5,14.4
2012-03-04 23:00:00,14.4,27,0.0,0.0,3,89,6.3,17.6
2012-03-05 00:00:00,13.6,30,0.0,0.0,3,100,7.1,18.7
2012-03-05 01:00:00,12.6,31,0.0,0.0,3,98,7.4,19.1
2012-03-05 02:00:00,11.7,33,0.0,0.0,3,97,7.4,19.1
2012-03-05 03:00:00,11.1,35,0.0,0.0,3,100,9.2,19.1
2012-03-05 04:00:00,10.7,36,0.0,0.0,3,100,8.9,18.7
2012-03-05 05:00:00,10.4,36,0.0,0.0,3,98,9.0,18.4
2012-03-05 06:00:00,10.3,36,0.0,0.0,3,100,9.5,18.4
2012-03-05 07:00:00,10.0,36,0.0,0.0,3,98,9.2,18.4
2012-03-05 08:00:00,10.4,36,0.0,0.0,3,100,9.5,17.3
2012-03-05 09:00:00,14.0,35,0.0,0.0,3,100,9.7,16.9
2012-03-05 10:00:00,20.5,26,0.0,0.0,3,100,5.7,15.1
2012-03-05 11:00:00,24.8,13,0.0,0.0,3,99,2.3,14.0
2012-03-05 12:00:00,26.2,11,0.0,0.0,3,100,5.5,18.4
2012-03-05 13:00:00,27.2,11,0.0,0.0,3,100,8.7,24.8
2012-03-05 14:00:00,27.6,12,0.0,0.0,3,100,11.3,29.5
2012-03-05 15:00:00,27.2,13,0.0,0.0,3,99,10.0,31.7
2012-03-05 16:00:00,26.6,14,0.0,0.0,3,99,10.6,32.4
2012-03-05 17:00:00,25.3,17,0.0,0.0,3,97,10.1,31.0
2012-03-05 18:00:00,23.3,20,0.0,0.0,3,97,6.4,26.3
2012-03-05 19:00:00,21.2,25,0.0,0.0,3,81,6.5,17.6
2012-03-05 20:00:00,19.4,30,0.0,0.0,2,64,3.8,12.6
2012-03-05 21:00:00,17.6,37,0.0,0.0,2,66,3.1,11.9
2012-03-05 22:00:00,15.8,42,0.0,0.0,3,80,4.7,11.9
2012-03-05 23:00:00,14.2,49,0.0,0.0,0,5,5.1,12.6
2012-03-06 00:00:00,13.9,43,0.0,0.0,0,2,5.0,13.0
2012-03-06 01:00:00,13.3,44,0.0,0.0,0,2,5.8,11.9
2012-03-06 02:00:00,12.5,46,0.0,0.0,0,0,6.1,13.0
2012-03-06 03:00:00,12.9,43,0.0,0.0,0,0,5.4,13.3
2012-03-06 04:00:00,11.2,49,0.0,0.0,0,0,3.6,12.2
2012-03-06 05:00:00,8.3,62,0.0,0.0,0,6,4.7,12.2
2012-03-06 06:00:00,8.5,61,0.0,0.0,0,11,3.3,12.6
2012-03-06 07:00:00,8.5,60,0.0,0.0,0,9,2.6,12.2
2012-03-06 08:00:00,9.1,59,0.0,0.0,0,14,4.0,13.0
2012-03-06 09:00:00,11.9,55,0.0,0.0,1,48,4.7,17.6
2012-03-06 10:00:00,13.1,56,0.0,0.0,2,52,8.3,25.2
2012-03-06 11:00:00,14.6,52,0.0,0.0,0,5,10.1,30.2
